Pclass,Sex,Age,Fare,Embarked,relatives,IsAlone
2,1,34,32,0,2,0
2,1,31,26,0,2,0
1,0,36,26,0,0,1
3,0,29,7,1,0,1
2,NaN,18,11,0,0,1
1,1,63,77,0,1,0
3,0,28,8,0,0,1
2,1,NaN,13,0,0,1
2,1,50,10,0,0,1
3,1,28,7,77,0,1
3,0,20,8,0,0,1
3,0,22,NaN,0,0,1
2,1,48,65,0,3,0
3,1,40,9,0,1,0
2,0,42,27,NaN,1,0
1,1,28,51,0,1,0
2,0,28,0,0,0,1
3,1,0,19,1,3,NaN
3,0,28,7,0,0,1
1,0,54,77,0,1,0
3,0,28,7,0,0,1
1,1,19,NaN,1,1,0
3,0,28,56,0,0,1
3,1,28,7,77,0,1
2,0,25,13,0,0,1
3,1,NaN,29,77,5,0
1,0,28,82,1,1,0
NaN,0,3,15,0,2,0
3,0,17,8,0,0,1
3,0,28,69,0,10,0
3,0,22,7,0,0,1
2,0,NaN,39,0,3,0
1,1,24,69,1,0,1
3,NaN,49,0,0,0,1
2,0,34,13,0,0,1
2,1,45,13,0,0,1
2,1,36,13,0,0,1
3,0,19,8,0,0,1
3,0,28,NaN,0,0,1
3,0,24,9,0,0,1
3,0,20,7,1,0,1
3,0,44,16,NaN,1,0
2,0,25,13,0,0,1
2,0,21,73,0,2,0
2,0,43,26,0,2,0
3,0,24,7,0,0,1
3,0,18,8,0,0,1
2,0,70,10,0,0,1
3,0,22,9,0,0,NaN
3,1,NaN,13,1,1,0
3,1,28,8,0,0,1
3,1,18,6,77,0,1
2,1,13,19,0,1,0
3,1,19,7,0,1,0
3,1,15,8,77,0,1
2,0,28,15,1,0,1
2,0,47,15,0,0,1
1,0,55,30,0,0,1
3,0,28,7,0,0,1
2,0,32,30,1,1,0
3,0,20,9,0,0,1
2,1,28,24,1,1,0
3,0,26,7,0,1,0
3,0,22,7,0,0,1
2,1,29,10,0,0,1
3,0,28,22,0,0,1
2,1,32,13,0,0,1
2,1,17,10,0,0,1
2,0,29,10,0,0,1
1,0,51,61,1,1,0
1,0,45,28,0,0,1
3,0,25,7,0,0,1
3,0,6,12,0,1,0
3,0,28,7,77,0,1
3,0,28,7,0,0,1
2,0,18,13,0,0,1
1,0,18,NaN,1,1,0
3,0,28,15,77,0,1
3,0,21,8,0,0,1
1,1,56,83,1,1,0
3,0,28,24,77,0,1
3,0,59,7,0,0,1
3,0,28,7,0,0,1
1,0,36,NaN,1,1,0
3,0,36,15,0,1,0
1,0,44,90,77,2,0
1,0,38,153,0,1,0
3,1,31,7,0,0,1
3,1,25,7,0,1,0
